Aa	Ao	Fn	Pg	Sg	So	Va
K02012	K02428	K02114	K02523	K02082	K02243	K02233
K02013	K02429	K02115	K02527	K02086	K02244	K02237
K02014	K02431	K02116	K02528	K02107	K02245	K02238
K02015	K02433	K02117	K02536	K02108	K02246	K02304
K02016	K02434	K02118	K02548	K02109	K02248	K02313
K02017	K02435	K02119	K02563	K02110	K02313	K02314
K02018	K02437	K02120	K02564	K02111	K02314	K02316
K02019	K02438	K02121	K02600	K02112	K02316	K02335
K02020	K02440	K02122	K02601	K02113	K02335	K02337
K02024	K02469	K02123	K02619	K02114	K02337	K02338
K02035	K02470	K02124	K02621	K02115	K02338	K02340
K02053	K02472	K02169	K02622	K02117	K02340	K02341
K02054	K02483	K02188	K02626	K02118	K02341	K02342
K02055	K02484	K02189	K02687	K02119	K02342	K02343
K02062	K02493	K02190	K02823	K02120	K02343	K02346
K02063	K02495	K02191	K02824	K02121	K02346	K02355
K02064	K02500	K02204	K02834	K02122	K02355	K02356
K02065	K02501	K02221	K02835	K02123	K02356	K02357
K02066	K02518	K02224	K02836	K02124	K02357	K02358
K02067	K02520	K02226	K02837	K02160	K02358	K02371
K02071	K02529	K02227	K02838	K02221	K02371	K02372
K02072	K02548	K02231	K02852	K02236	K02372	K02428
K02073	K02549	K02232	K02860	K02237	K02428	K02433
K02078	K02552	K02233	K02863	K02238	K02433	K02434
K02106	K02563	K02237	K02864	K02240	K02434	K02435
K02108	K02564	K02238	K02867	K02242	K02435	K02446
K02109	K02575	K02242	K02871	K02243	K02440	K02453
K02110	K02600	K02304	K02874	K02244	K02469	K02454
K02111	K02601	K02314	K02876	K02245	K02470	K02469
K02112	K02757	K02316	K02878	K02246	K02493	K02470
K02113	K02770	K02334	K02879	K02248	K02495	K02492
K02114	K02777	K02335	K02881	K02313	K02503	K02493
K02115	K02793	K02337	K02884	K02314	K02518	K02495
K02116	K02795	K02338	K02886	K02316	K02519	K02499
K02160	K02796	K02340	K02887	K02335	K02520	K02500
K02169	K02803	K02341	K02888	K02337	K02528	K02501
K02193	K02810	K02343	K02890	K02338	K02529	K02502
